name,repository link,repository owner
grit,https://github.com/mojombo/grit,mojombo
merb-core,https://github.com/wycats/merb-core,wycats
rubinius,https://github.com/rubinius/rubinius,rubinius
god,https://github.com/mojombo/god,mojombo
jsawesome,https://github.com/vanpelt/jsawesome,vanpelt
jspec,https://github.com/wycats/jspec,wycats
exception_logger,https://github.com/defunkt/exception_logger,defunkt
ambition,https://github.com/defunkt/ambition,defunkt
restful-authentication,https://github.com/technoweenie/restful-authentication,technoweenie
attachment_fu,https://github.com/technoweenie/attachment_fu,technoweenie
microsis,https://github.com/caged/microsis,caged
s3,https://github.com/anotherjesse/s3,anotherjesse
taboo,https://github.com/anotherjesse/taboo,anotherjesse
foxtracs,https://github.com/anotherjesse/foxtracs,anotherjesse
fotomatic,https://github.com/anotherjesse/fotomatic,anotherjesse
glowstick,https://github.com/mojombo/glowstick,mojombo
starling,https://github.com/defunkt/starling,defunkt
merb-more,https://github.com/wycats/merb-more,wycats
thin,https://github.com/macournoyer/thin,macournoyer
resource_controller,https://github.com/jamesgolick/resource_controller,jamesgolick
markaby,https://github.com/jamesgolick/markaby,jamesgolick
enum_field,https://github.com/jamesgolick/enum_field,jamesgolick
subtlety,https://github.com/defunkt/subtlety,defunkt
zippy,https://github.com/defunkt/zippy,defunkt
cache_fu,https://github.com/defunkt/cache_fu,defunkt
phosphor,https://github.com/KirinDave/phosphor,KirinDave
sinatra,https://github.com/bmizerany/sinatra,bmizerany
gsa-prototype,https://github.com/jnewland/gsa-prototype,jnewland
duplikate,https://github.com/technoweenie/duplikate,technoweenie
lazy_record,https://github.com/jnewland/lazy_record,jnewland
gsa-feeds,https://github.com/jnewland/gsa-feeds,jnewland
votigoto,https://github.com/jnewland/votigoto,jnewland
mofo,https://github.com/defunkt/mofo,defunkt
xhtmlize,https://github.com/jnewland/xhtmlize,jnewland
ruby-git,https://github.com/ruby-git/ruby-git,ruby-git
bmhsearch,https://github.com/ezmobius/bmhsearch,ezmobius
mofo,https://github.com/uggedal/mofo,uggedal
simply_versioned,https://github.com/mmower/simply_versioned,mmower
gchart,https://github.com/abhay/gchart,abhay
schemr,https://github.com/benburkert/schemr,benburkert
calais,https://github.com/abhay/calais,abhay
chronic,https://github.com/mojombo/chronic,mojombo
git-wiki,https://github.com/sr/git-wiki,sr
signal-wiki,https://github.com/queso/signal-wiki,queso
ruby-on-rails-tmbundle,https://github.com/drnic/ruby-on-rails-tmbundle,drnic
low-pro-for-jquery,https://github.com/danwrong/low-pro-for-jquery,danwrong
merb-core,https://github.com/wayneeseguin/merb-core,wayneeseguin
dst,https://github.com/sr/dst,sr
yaws,https://github.com/mojombo/yaws,mojombo
yaws,https://github.com/KirinDave/yaws,KirinDave
tasks,https://github.com/sr/tasks,sr
ruby-on-rails-tmbundle,https://github.com/mattetti/ruby-on-rails-tmbundle,mattetti
amazon-ec2,https://github.com/grempe/amazon-ec2,grempe
merblogger,https://github.com/wayneeseguin/merblogger,wayneeseguin
merbtastic,https://github.com/wayneeseguin/merbtastic,wayneeseguin
alogr,https://github.com/wayneeseguin/alogr,wayneeseguin
autozest,https://github.com/wayneeseguin/autozest,wayneeseguin
rnginx,https://github.com/wayneeseguin/rnginx,wayneeseguin
sequel,https://github.com/wayneeseguin/sequel,wayneeseguin
simply_versioned,https://github.com/bmizerany/simply_versioned,bmizerany
switchpipe,https://github.com/peterc/switchpipe,peterc
arc,https://github.com/hornbeck/arc,hornbeck
ebay4r,https://github.com/up_the_irons/ebay4r,up_the_irons
merb-plugins,https://github.com/wycats/merb-plugins,wycats
ram,https://github.com/up_the_irons/ram,up_the_irons
ambitious_activeldap,https://github.com/defunkt/ambitious_activeldap,defunkt
fitter_happier,https://github.com/atmos/fitter_happier,atmos
oebfare,https://github.com/brosner/oebfare,brosner
credit_card_tools,https://github.com/up_the_irons/credit_card_tools,up_the_irons
rorem,https://github.com/jnicklas/rorem,jnicklas
braid,https://github.com/cristibalan/braid,cristibalan
uploadcolumn,https://github.com/jnicklas/uploadcolumn,jnicklas
ruby-on-rails-tmbundle,https://github.com/simonjefford/ruby-on-rails-tmbundle,simonjefford
rack-mirror,https://github.com/leahneukirchen/rack-mirror,leahneukirchen
coset-mirror,https://github.com/leahneukirchen/coset-mirror,leahneukirchen
